coverage,Young Driver Budget,Young Family Starter,Suburban Homeowner,Urban Condo Owner,Premium Full Coverage,Senior Value,High-Risk Area,Basic Compliance,Auto-Focused,Property-Focused
auto_liability_basic,1.25,1.1,0.85,0.8,0.7,1.0,0.95,1.3,1.15,0.8
auto_liability_enhanced,0.7,0.9,1.2,1.25,1.3,1.05,1.0,0.7,1.2,0.85
homeowners,0.7,0.95,1.3,0.7,1.2,1.15,1.25,0.85,0.75,1.3
condo_owners,0.8,0.85,0.7,1.3,1.1,0.9,0.75,0.8,0.75,1.1
renters,1.3,1.15,0.7,0.95,0.8,0.85,0.7,1.2,0.8,0.75
collision,1.1,1.05,1.0,1.05,1.25,0.85,0.9,0.75,1.3,0.8
comprehensive,0.9,1.0,1.1,1.15,1.25,0.95,1.2,0.75,1.25,0.85
medical_payments,0.85,1.2,1.0,0.9,1.15,1.3,0.95,0.8,1.1,0.85
personal_injury_protection,0.8,1.15,0.95,0.95,1.1,1.25,0.9,0.8,1.05,0.85
uninsured_motorist,1.15,1.05,1.0,1.1,1.1,1.0,0.95,0.85,1.2,0.8
underinsured_motorist,1.1,1.0,1.0,1.05,1.1,1.0,0.9,0.85,1.15,0.8
roadside_assistance,1.25,1.1,0.9,1.0,1.05,0.8,0.85,0.75,1.2,0.8
rental_reimbursement,1.1,1.0,0.85,1.05,1.1,0.75,0.8,0.75,1.15,0.8
gap_insurance,1.3,0.95,0.8,0.85,0.9,0.7,0.75,0.7,1.1,0.75
personal_property_floater,0.75,0.9,1.15,1.2,1.2,1.0,0.95,0.75,0.75,1.25
additional_living_expense,0.7,0.9,1.2,0.8,1.15,1.1,1.2,0.75,0.75,1.2
personal_umbrella,0.7,0.85,1.25,1.1,1.3,1.05,0.9,0.7,0.8,1.1
excess_liability,0.7,0.8,1.15,1.1,1.3,0.95,0.85,0.7,0.8,1.05
flood_insurance,0.75,0.85,1.05,0.8,1.1,0.9,1.3,0.75,0.8,1.25
earthquake_insurance,0.7,0.8,0.9,0.8,1.05,0.85,1.3,0.7,0.75,1.2
